year   day  hour  min   field
2018   1 11 57   -0.77
2018   1 11 58   -1.82
2018   1 11 59   -2.07
2018   1 12  0   -2.62
2018   1 12  1   -2.39
2018   1 12  2   -1.90
2018   1 12  3   -2.04
2018   1 12  4   -2.22
2018   1 12  5   -2.67
2018   1 12  6   -3.12
2018   1 12  7   -3.17
2018   1 12  8   -2.22
2018   1 12  9   -1.68
2018   1 12 10   -0.88
2018   1 12 11   -1.19
2018   1 12 12   -0.98
2018   1 12 13   -1.02
2018   1 12 14   -1.85
2018   1 12 15   -2.94
2018   1 12 16   -3.02
2018   1 12 17   -4.14
2018   1 12 18   -4.92
2018   1 12 19   -4.93
2018   1 12 20   -4.60
2018   1 12 21   -4.76
2018   1 12 22   -4.44
2018   1 12 23   -4.17
2018   1 12 24   -3.70
2018   1 12 25   -3.17
2018   1 12 26   -3.45
2018   1 12 27   -3.69
2018   1 12 28   -3.99
2018   1 12 29   -3.64
2018   1 12 30   -1.51
2018   1 12 31   -2.84
2018   1 12 32   -2.44
2018   1 12 33   -2.33
2018   1 12 34   -2.97
2018   1 12 35   -3.03
2018   1 12 36   -2.82
2018   1 12 37   -2.93
2018   1 12 38   -3.08
2018   1 12 39   -2.70
2018   1 12 40   -2.49
2018   1 12 41   -2.81
2018   1 12 42   -2.09
2018   1 12 43   -2.24
2018   1 12 44   -2.77
2018   1 12 45   -2.08
2018   1 12 46   -1.69
2018   1 12 47   -1.68
2018   1 12 48   -2.96
2018   1 12 49   -2.38
2018   1 12 50   -2.39
2018   1 12 51   -2.44
2018   1 12 52   -1.91
2018   1 12 53   -1.48
2018   1 12 54   -1.23
2018   1 12 55   -1.48
2018   1 12 56   -0.63
2018   1 12 57   -0.64
2018   1 12 58   -1.10
2018   1 12 59   -1.84
2018   1 13  0   -2.08
2018   1 13  1   -1.86
2018   1 13  2   -1.91
2018   1 13  3   -1.78
2018   1 13  4   -2.52
2018   1 13  5   -2.24
2018   1 13  6   -2.24
2018   1 13  7   -2.05
2018   1 13  8   -0.97
2018   1 13  9   -0.48
2018   1 13 10   -0.26
2018   1 13 11   -0.19
2018   1 13 12    0.09
2018   1 13 13    0.18
2018   1 13 14    0.13
2018   1 13 15    0.24
2018   1 13 16    0.08
2018   1 13 17   -0.12
2018   1 13 18    0.11
2018   1 13 19    0.16
2018   1 13 20    0.22
2018   1 13 21    0.23
2018   1 13 22   -0.05
2018   1 13 23    0.09
2018   1 13 24    0.43
2018   1 13 25    0.58
2018   1 13 26    0.28
2018   1 13 27    0.30
2018   1 13 28    0.39
2018   1 13 29    0.38
2018   1 13 30    0.35
2018   1 13 31    0.28
2018   1 13 32    0.41
2018   1 13 33    0.40
2018   1 13 34    0.41
2018   1 13 35    0.43
2018   1 13 36    0.36
2018   1 13 37    0.40
2018   1 13 38    0.45
2018   1 13 39    0.46
2018   1 13 40    0.47
2018   1 13 41    0.29
2018   1 13 42    0.25
2018   1 13 43    0.22
2018   1 13 44    0.20
2018   1 13 45    0.22
2018   1 13 46    0.18
2018   1 13 47    0.33
2018   1 13 48    0.38
2018   1 13 49    0.33
2018   1 13 50    0.48
2018   1 13 51    0.50
2018   1 13 52    0.35
2018   1 13 53    0.34
2018   1 13 54    0.43
2018   1 13 55    0.41
2018   1 13 56    0.37
2018   1 13 57    0.25
2018   1 13 58    0.24
2018   1 13 59    0.24
2018   1 14  0    0.32
2018   1 14  1    0.37
2018   1 14  2    0.34
2018   1 14  3    0.36
2018   1 14  4    0.46
2018   1 14  5    0.47
2018   1 14  6    0.38
2018   1 14  7    0.38
2018   1 14  8    0.36
2018   1 14  9    0.35
2018   1 14 10    0.38
2018   1 14 11    0.46
2018   1 14 12    0.42
2018   1 14 13    0.38
2018   1 14 14    0.34
2018   1 14 15    0.40
2018   1 14 16    0.43
2018   1 14 17    0.29
2018   1 14 18    0.16
2018   1 14 19    0.32
2018   1 14 20    0.28
2018   1 14 21    0.23
2018   1 14 22    0.23
2018   1 14 23    0.30
2018   1 14 24    0.05
2018   1 14 25    0.06
2018   1 14 26    0.16
2018   1 14 27   -0.19
2018   1 14 28   -0.18
2018   1 14 29   -0.29
2018   1 14 30   -0.23
2018   1 14 31   -0.19
2018   1 14 32    0.10
2018   1 14 33    0.35
2018   1 14 34    0.44
2018   1 14 35    0.43
2018   1 14 36    0.13
2018   1 14 37    0.32
2018   1 14 38    0.40
2018   1 14 39    0.46
2018   1 14 40    0.39
2018   1 14 41    0.35
2018   1 14 42    0.38
2018   1 14 43    0.45
2018   1 14 44    0.51
2018   1 14 45    0.46
2018   1 14 46    0.36
2018   1 14 47    0.33
2018   1 14 48    0.16
2018   1 14 49    0.16
2018   1 14 50    0.18
2018   1 14 51    0.18
2018   1 14 52    0.17
2018   1 14 53    0.19
2018   1 14 54    0.25
2018   1 14 55    0.35
2018   1 14 56    0.35
2018   1 14 57    0.36
2018   1 14 58    0.28
2018   1 14 59    0.24
2018   1 15  0    0.32
2018   1 15  1    0.33
2018   1 15  2    0.25
2018   1 15  3    0.31
2018   1 15  4    0.22
2018   1 15  5    0.29
2018   1 15  6    0.36
2018   1 15  7    0.43
2018   1 15  8    0.31
2018   1 15  9    0.27
2018   1 15 10    0.27
2018   1 15 11    0.28
2018   1 15 12    0.19
2018   1 15 13    0.28
2018   1 15 14    0.43
2018   1 15 15    0.80
2018   1 15 16    0.51
2018   1 15 17    0.52
2018   1 15 18    0.59
2018   1 15 19    0.58
2018   1 15 20    0.58
2018   1 15 21    0.60
2018   1 15 22    0.64
2018   1 15 23    0.62
2018   1 15 24    0.66
2018   1 15 25    0.71
2018   1 15 26    0.49
2018   1 15 27    0.42
2018   1 15 28    0.51
2018   1 15 29    0.79
2018   1 15 30    0.83
2018   1 15 31    0.81
2018   1 15 32    0.67
2018   1 15 33    0.94
2018   1 15 34    0.84
2018   1 15 35    0.61
2018   1 15 36    0.66
2018   1 15 37    0.66
2018   1 15 38    0.53
2018   1 15 39    0.62
2018   1 15 40    0.45
2018   1 15 41    0.43
2018   1 15 42    0.46
2018   1 15 43    0.44
